City	Geonames ID
Buenos Aires	3435910
Vienna	2761369
Brussels	2800866
Rio de Janeiro	3451190
Sofia	727011
Valparales	3868626
Amoy	1790645
Guayaquil	3657509
Alexandria	361058
Marseille	2995469
Cologne	2886242
Athens	264371
Bagdad	98182
Haifa	294801
Bushire	11669720
Genoa	3176219
Port au Prince	3718426
Antanarivo	1070940
Mexico	3530597
Casablanca	2553604
Tangier	2530335
Lisbon	2267057
Bucharest	683506
Barcelona	3128760
Basel	2661604
Tunis	2464470
Constantinople	745044
New York	5128581
Montevideo	3441575
Madrid	3117735
Changsha	1815577
Chefoo	1787093
Chinkiang	1784642
Chungking	1814906
Canton	1809858
Dairen	1814087
Foochow	1810821
Hankow	11494351
Harbin	2037013
Hongkong	1819729
Kiukiang	1805179
Mukden	1805179
Nanking	1799962
Newchwang	2033370
Peking	1816670
Shanghai	1796236
Swatow	1795940
Tientsin	1792947
Tsinan	1805753
Tsingtao	1797929
Wuhu	1791236
Nice	2990440
Paris	2988507
Tehran	112931
Basra	99532
Jerusalem	281184
Mohammerah	127319