Country,Code,City,Date,lat,lng,Secured,Foundation,Earliest
Egypt,AF,Alexandria,1899,31.20176,29.91582,,,1899
China,AS,Amoy,1921,24.47979,118.08187,TRUE,1921,
Madagascar,AF,Antanarivo,1925,-18.91368,47.53613,,,
Greece,EU,Athens,1917,37.98376,23.72784,,,1917
Iraq (Mesopotamia),AS,Baghdad,1923,33.34058,44.40088,,,1923
Spain,EU,Barcelona,1908,41.38879,2.15899,TRUE,1908,1909
Switzerland,EU,Basel,1920,47.55839,7.57327,TRUE,1920,
Iraq (Mesopotamia),AS,Basra,1925,30.50852,47.7804,,,
Belgium,EU,Brussels,1909,50.85045,4.34878,TRUE,1909,
Rumania,EU,Bucharest,1916,44.43225,26.10626,,,1916
Argentina,SA,Buenos Aires,1913,-34.61315,-58.37723,TRUE,1913,
Persia,AS,Bushire,1902,28.90038,50.83016,,,1902
China,AS,Canton,1916,23.11667,113.25,,,1916
Maorocco,AF,Casablance,1925,33.58831,-7.61138,,,
China,AS,Changsha,1925,28.19874,112.97087,,,
China,AS,Chefoo,1925,37.47649,121.44081,,,
China,AS,Chinkiand,1925,32.21086,119.45508,,,
China,AS,Chungking,1921,29.56026,106.55771,,,1921
German,EU,Cologne,1919,50.93333,6.95,TRUE,1919,
Turkey,AS,Constantinople,1887,41.01384,28.94966,TRUE,1887,
China,AS,Dairen,1920,38.91222,121.60222,,,1920
China,AS,Foochow,1921,26.06139,119.30611,,,1921
Italy,EU,Genoa,1904,44.40478,8.94439,TRUE,1904,
Ecuador,SA,Guayaquil,1925,-2.19616,-79.88621,,,
Palestine,AS,Haifa,1925,32.81841,34.9885,,,
China,AS,Hankow,1915,30.58333,114.28333,,,1915
China,AS,Harbin,1918,45.75,126.65,,,1918
China,AS,Hongkong,1896,22.27832,114.17469,,,1896
Palestine,AS,Jerusalem,1925,31.76904,35.21633,,,
China,AS,Kiukiang,1921,29.70475,116.00206,,,1921
Portugal,EU,Lisbon,1911,38.71667,-9.13333,,,1911
Spain,EU,Madrid,1908,40.4165,-3.70256,TRUE,1908,1909
France,EU,Marseille,1925,43.29695,5.38107,,,
Mexico,NA,Mexico,1925,19.42847,-99.12766,,,1925
Persia,AS,Mohammerah,1902,30.44079,48.18428,,,1902
Uruguay,SA,Montevideo,1917,-34.90328,-56.18816,,,1917
China,AS,Mukden,1921,29.70475,116.00206,,,1921
China,AS,Nanking,1925,32.06167,118.77778,,,
United States,NA,New York,1921,40.71427,-74.00597,TRUE,1921,
China,AS,Newchwang,1923,40.66472,122.23176,,,1923
France,EU,Nice,1895,43.70313,7.26608,,,1895
France,EU,Paris,1873,48.85341,2.3488,TRUE,1873,
China,AS,Peking,1817,39.9075,116.39723,,,1817
Haiti,NA,Port au Prince,1925,18.54349,-72.33881,,,
Brazil,SA,Rio de Janeiro,1917,-22.90642,-43.18223,TRUE,1917,
China,AS,Shanghai,1898,31.22222,121.45806,,,1898
Bulgaria,EU,Sofia,1925,42.69751,23.32415,,,
China,AS,Swatow,1925,23.36814,116.71479,,,
Maorocco,AF,Tangier,1915,35.76727,-5.79975,,,1915
Persia,AS,Tehran,1902,35.69439,51.42151,,,1902
China,AS,Tientsin,1898,39.14222,117.17667,,,1898
China,AS,Tsinan,1925,36.66833,116.99722,,,
China,AS,Tsingtao,1925,36.06488,120.38042,,,
Tunis,AF,Tunis,1899,36.81897,10.16579,TRUE,1899,
Chile,SA,Valparaiso,1917,-33.036,-71.62963,TRUE,1917,
Austria,EU,Vienna,1923,48.20849,16.37208,,,1923
China,AS,Wuhu,1925,31.33728,118.37351,,,